Distributed training: False
Set random seed to 0
**********************Start training**********************
epoch[1][20/1856]: lr: 0.000300, aux_loss_cls: 0.171083, aux_loss_reg: 0.772710, rpn_loc_loss: 4.863398, rpn_cls_loss: 30.480129, rpn_dir_loss: 0.152646, loss_cls: 38.993329, loss: 75.433295
epoch[1][40/1856]: lr: 0.000300, aux_loss_cls: 0.098895, aux_loss_reg: 0.628925, rpn_loc_loss: 1.809476, rpn_cls_loss: 0.981585, rpn_dir_loss: 0.140936, loss_cls: 6.551304, loss: 10.211120
epoch[1][60/1856]: lr: 0.000300, aux_loss_cls: 0.077691, aux_loss_reg: 0.514542, rpn_loc_loss: 1.639830, rpn_cls_loss: 0.717973, rpn_dir_loss: 0.139068, loss_cls: 1.851645, loss: 4.940749
epoch[1][80/1856]: lr: 0.000300, aux_loss_cls: 0.076452, aux_loss_reg: 0.488230, rpn_loc_loss: 1.575878, rpn_cls_loss: 0.689827, rpn_dir_loss: 0.140728, loss_cls: 1.447014, loss: 4.418128
epoch[1][100/1856]: lr: 0.000300, aux_loss_cls: 0.075126, aux_loss_reg: 0.441705, rpn_loc_loss: 1.380039, rpn_cls_loss: 0.639498, rpn_dir_loss: 0.142880, loss_cls: 0.786237, loss: 3.465485
epoch[1][120/1856]: lr: 0.000300, aux_loss_cls: 0.073082, aux_loss_reg: 0.425562, rpn_loc_loss: 1.373650, rpn_cls_loss: 0.615606, rpn_dir_loss: 0.140789, loss_cls: 0.543133, loss: 3.171821
epoch[1][140/1856]: lr: 0.000300, aux_loss_cls: 0.070266, aux_loss_reg: 0.407395, rpn_loc_loss: 1.292742, rpn_cls_loss: 0.601279, rpn_dir_loss: 0.138703, loss_cls: 0.409924, loss: 2.920309
epoch[1][160/1856]: lr: 0.000300, aux_loss_cls: 0.066661, aux_loss_reg: 0.395837, rpn_loc_loss: 1.212163, rpn_cls_loss: 0.594568, rpn_dir_loss: 0.136096, loss_cls: 0.452522, loss: 2.857847
epoch[1][180/1856]: lr: 0.000300, aux_loss_cls: 0.063202, aux_loss_reg: 0.397023, rpn_loc_loss: 1.176908, rpn_cls_loss: 0.551587, rpn_dir_loss: 0.138470, loss_cls: 0.359561, loss: 2.686751
epoch[1][200/1856]: lr: 0.000300, aux_loss_cls: 0.059403, aux_loss_reg: 0.341670, rpn_loc_loss: 1.148364, rpn_cls_loss: 0.558985, rpn_dir_loss: 0.137411, loss_cls: 0.397955, loss: 2.643788
epoch[1][220/1856]: lr: 0.000300, aux_loss_cls: 0.057557, aux_loss_reg: 0.417036, rpn_loc_loss: 1.176630, rpn_cls_loss: 0.557115, rpn_dir_loss: 0.137700, loss_cls: 0.287318, loss: 2.633356
